id,wiki_id,name,status,type,lat,lng,country,weight,nr_tokens_norm
237625,37299,Upleta,outline,city,21.7333,70.2833,India,5300,0.008809769730846346
981941,37307,Upper Darby,outline,city,39.92833,-75.27389000000002,United States of America,15251,0.018257488304271218
993875,37312,Tornado (West Virginia),outline,city,38.34278,-81.84416999999998,United States of America,17071,0.019715657087307856
156206,37324,Upper Sandusky,usable,city,40.829722,-83.279167,United States of America,396,0.0012151406525305304
704286,37332,Uppsala,star,city,59.8581,17.6446,Sweden,428869,0.1723373230451425
435549,37339,Ura,outline,city,27.4775,90.904722,Bhutan,1015,0.002642930919253904
583502,37340,Uralla,outline,city,-30.633333,151.48333300000004,Australia,729,0.0020353605929886386
558068,37344,Oral,outline,city,51.23333333333299,51.366666666667,Kazakhstan,17187,0.019806792636247645
950468,37345,Urana,outline,city,-35.31666699999999,146.26667,Australia,20827,0.0225712376207546
171994,37351,Urbana (Ohio),usable,city,40.10833,-83.7525,United States of America,623,0.0017923324624825323
483719,37358,Urbino,outline,city,43.7167,12.6333,Italy,8730,0.012455191688437936
628458,37361,Ureshino,outline,city,33.1333,130.0667,Japan,207,0.0006379488425785285
142126,37363,Urfa,outline,city,37.1667,38.8,Turkey,46170,0.03867185126678413
311581,37364,Urgench,outline,city,41.55,60.6333,Uzbekistan,19440,0.021538368066103653
328691,37368,Uri (India),outline,city,34.083333333333,74.03333333333299,India,3240,0.006227595844218968
454394,37372,Uricani,outline,city,45.34,23.15,Romania,6944,0.010632480709642142
538587,37374,Urk,outline,city,52.6667,5.6,Netherlands,15775,0.018682787532656904
863000,37375,Urmia,outline,city,37.555278,45.0725,Iran,13004,0.016374020292848897
791185,37377,Ferizaj,usable,city,42.371,21.155,Kosovo,9609,0.013305790145209308
797314,37378,Uro Islands,outline,city,-15.804,-69.971,Peru,16725,0.019442250440488487
539186,37382,Uruapan,outline,city,19.4167,-102.0667,Mexico,6076,0.00969074670393098
483151,37383,Urubamba,usable,city,-13.30422,-72.12133,Peru,8180,0.011908378394799198
906040,37387,Urumqi,usable,city,43.825,87.6,China,96234,0.06336958502946716
609106,37402,Ushguli,outline,city,42.917797,43.015672,Georgia (country),7970,0.011695728780606355
320121,37405,Ushuaia,guide,city,-54.8,-68.3,Argentina,158031,0.08837110395528282
478992,37406,Usk,usable,city,51.7036,-2.9019,United Kingdom,940,0.002491038337687587
688424,37408,Uspantan,outline,city,15.3833,-90.8333,Guatemala,1892,0.004222613767543593
863423,37412,Ussuriysk,outline,city,43.8,131.95,Russia,5222,0.008718634181906555
337113,37413,Uster,usable,city,47.35124,8.71791,Switzerland,10091,0.013761467889908258
185027,37416,Ustka,outline,city,54.5833333,16.85,Poland,1364,0.0033112582781456954
795449,37417,Ust-Kamenogorsk,outline,city,49.95,82.616666666667,Kazakhstan,7407,0.011118536970654354
232435,37419,Ust-Nera,outline,city,64.568056,143.23611100000005,Russia,6214,0.009842639285497296
741398,37423,Ustronie Morskie,outline,city,54.2145,15.7567,Poland,3465,0.006531381007351601
948103,37433,Uthai Thani,outline,city,15.38,100.025,Thailand,42403,0.036514976608542436
337892,37435,Utica,usable,city,43.1,-75.233,United States of America,26775,0.026763472871984932
822850,37436,Utica (Illinois),outline,city,41.34056,-89.01,United States of America,1015,0.002642930919253904
914292,37437,Útila,usable,city,16.1,-86.93333299999998,Honduras,119712,0.07336411689653077
405503,37439,Uto,outline,city,32.682778000000006,130.666944,Japan,1674,0.003858071571784434
307103,37442,Utrecht,usable,city,52.09491,5.1162,Netherlands,170350,0.09292788140227232
291210,37448,Utsjoki,usable,city,69.90899999999999,27.03,Finland,32480,0.030500030378516313
549707,37449,Utsunomiya,usable,city,36.55,139.8833,Japan,72143,0.05222066954249954
